[INFO]: ..........................START........................
[INFO]: ..........................START........................
[INFO]: Candle:2023-06-09 12:30:00 , Open:18630.6 , High:18632.1 , Low:18629.3 , Close:18631.0
[INFO]: Candle:2023-06-09 12:31:00 , Open:18631.5 , High:18632.15 , Low:18628.3 , Close:18628.3
[INFO]: Candle:2023-06-09 12:32:00 , Open:18628.45 , High:18642.7 , Low:18628.2 , Close:18642.7
[INFO]: Candle:2023-06-09 12:33:00 , Open:18645.3 , High:18646.1 , Low:18638.1 , Close:18638.1
[INFO]: Candle:2023-06-09 12:34:00 , Open:18637.8 , High:18637.8 , Low:18618.7 , Close:18620.6
[INFO]: Candle:2023-06-09 12:36:00 , Open:18626.65 , High:18630.9 , Low:18626.65 , Close:18628.25
[INFO]: Candle:2023-06-09 12:37:00 , Open:18628.55 , High:18628.8 , Low:18626.2 , Close:18626.65
[INFO]: Candle:2023-06-09 12:38:00 , Open:18627.0 , High:18629.2 , Low:18625.8 , Close:18629.2
[INFO]: Candle:2023-06-09 12:39:00 , Open:18629.3 , High:18629.4 , Low:18624.35 , Close:18625.0
[INFO]: Candle:2023-06-09 12:40:00 , Open:18625.1 , High:18628.35 , Low:18623.85 , Close:18625.65
[INFO]: Candle:2023-06-09 12:41:00 , Open:18625.35 , High:18626.4 , Low:18623.25 , Close:18623.7
[INFO]: Candle:2023-06-09 12:42:00 , Open:18623.75 , High:18625.35 , Low:18623.2 , Close:18623.7
[INFO]: Candle:2023-06-09 12:43:00 , Open:18624.0 , High:18624.3 , Low:18617.85 , Close:18617.85
[INFO]: Candle:2023-06-09 12:44:00 , Open:18617.7 , High:18617.8 , Low:18615.95 , Close:18616.8
[INFO]: Candle:2023-06-09 12:45:00 , Open:18616.9 , High:18616.9 , Low:18613.4 , Close:18614.2
[INFO]: Candle:2023-06-09 12:46:00 , Open:18614.0 , High:18616.8 , Low:18613.5 , Close:18615.3
[INFO]: Candle:2023-06-09 12:47:00 , Open:18615.75 , High:18616.95 , Low:18612.45 , Close:18612.45
[INFO]: Candle:2023-06-09 12:48:00 , Open:18612.9 , High:18613.2 , Low:18609.1 , Close:18609.25
[INFO]: Candle:2023-06-09 12:51:00 , Open:18607.95 , High:18609.3 , Low:18607.1 , Close:18607.1
[INFO]: Candle:2023-06-09 12:52:00 , Open:18607.0 , High:18612.8 , Low:18607.0 , Close:18609.65
[INFO]: Candle:2023-06-09 12:53:00 , Open:18610.1 , High:18611.45 , Low:18607.75 , Close:18607.75
[INFO]: Candle:2023-06-09 12:54:00 , Open:18607.15 , High:18608.4 , Low:18604.4 , Close:18607.15
[INFO]: Candle:2023-06-09 12:55:00 , Open:18606.6 , High:18609.8 , Low:18605.85 , Close:18608.7
[INFO]: Candle:2023-06-09 12:56:00 , Open:18609.2 , High:18611.55 , Low:18607.55 , Close:18610.85
[INFO]: Candle:2023-06-09 12:57:00 , Open:18610.85 , High:18611.4 , Low:18606.1 , Close:18607.35
[INFO]: Candle:2023-06-09 12:58:00 , Open:18608.0 , High:18608.5 , Low:18604.0 , Close:18604.45
[INFO]: Candle:2023-06-09 12:59:00 , Open:18604.55 , High:18608.25 , Low:18604.5 , Close:18605.95
[INFO]: Candle:2023-06-09 13:00:00 , Open:18606.0 , High:18607.6 , Low:18603.5 , Close:18606.3
[INFO]: Candle:2023-06-09 13:01:00 , Open:18605.7 , High:18606.6 , Low:18603.9 , Close:18605.0
[INFO]: Candle:2023-06-09 13:02:00 , Open:18604.95 , High:18609.15 , Low:18604.5 , Close:18608.7
[INFO]: Candle:2023-06-09 13:03:00 , Open:18607.85 , High:18608.65 , Low:18606.3 , Close:18607.7
[INFO]: Candle:2023-06-09 13:04:00 , Open:18607.5 , High:18608.55 , Low:18605.75 , Close:18605.85
[INFO]: Candle:2023-06-09 13:05:00 , Open:18606.2 , High:18607.15 , Low:18605.35 , Close:18605.35
[INFO]: Candle:2023-06-09 13:07:00 , Open:18600.95 , High:18602.65 , Low:18598.95 , Close:18600.15
[INFO]: Candle:2023-06-09 13:08:00 , Open:18600.2 , High:18603.0 , Low:18600.2 , Close:18601.25
[INFO]: Candle:2023-06-09 13:09:00 , Open:18601.85 , High:18609.45 , Low:18600.0 , Close:18609.2
[INFO]: Candle:2023-06-09 13:10:00 , Open:18608.8 , High:18614.6 , Low:18608.8 , Close:18612.05
[INFO]: Candle:2023-06-09 13:11:00 , Open:18611.65 , High:18611.8 , Low:18609.25 , Close:18610.55
[INFO]: Candle:2023-06-09 13:12:00 , Open:18609.9 , High:18611.0 , Low:18607.85 , Close:18609.35
[INFO]: Candle:2023-06-09 13:14:00 , Open:18610.1 , High:18611.2 , Low:18609.25 , Close:18610.5
[INFO]: Candle:2023-06-09 13:15:00 , Open:18609.65 , High:18609.85 , Low:18607.45 , Close:18608.45
[INFO]: Candle:2023-06-09 13:16:00 , Open:18608.15 , High:18613.9 , Low:18608.15 , Close:18613.8
[INFO]: Candle:2023-06-09 13:17:00 , Open:18613.65 , High:18615.5 , Low:18612.8 , Close:18614.1
[INFO]: Candle:2023-06-09 13:18:00 , Open:18614.15 , High:18615.4 , Low:18610.85 , Close:18611.6
[INFO]: Candle:2023-06-09 13:19:00 , Open:18612.15 , High:18613.05 , Low:18603.6 , Close:18603.6
[INFO]: Candle:2023-06-09 13:20:00 , Open:18602.95 , High:18603.75 , Low:18598.8 , Close:18600.35
[INFO]: Candle:2023-06-09 13:21:00 , Open:18601.2 , High:18602.85 , Low:18599.75 , Close:18599.75
[INFO]: Candle:2023-06-09 13:22:00 , Open:18599.65 , High:18601.35 , Low:18597.4 , Close:18599.25
[INFO]: Candle:2023-06-09 13:23:00 , Open:18599.75 , High:18601.5 , Low:18598.8 , Close:18600.1
[INFO]: Candle:2023-06-09 13:24:00 , Open:18600.15 , High:18600.4 , Low:18595.8 , Close:18596.1
[INFO]: Candle:2023-06-09 13:25:00 , Open:18596.45 , High:18598.5 , Low:18594.85 , Close:18596.4
[INFO]: Candle:2023-06-09 13:26:00 , Open:18596.15 , High:18596.5 , Low:18591.25 , Close:18593.6
[INFO]: 2023-06-09 13:27:00.405599 shift straddle downward---------------------closed NIFTY15JUN2318650PE short position @104.85
[INFO]: 2023-06-09 13:27:00.405599 shift straddle downward---------------------closed NIFTY15JUN2318650CE short position @67.6
[INFO]: 2023-06-09 13:27:00.405599-------------built NIFTY15JUN2318550PE short position 
[INFO]: 2023-06-09 13:27:00.405599-------------built NIFTY15JUN2318550CE short position
[INFO]: lt:[18550, 18600]
